"customerid","recency","frequency","monetory","r_score","f_score","m_score","customer_segment"
16873,5.0,6,7123.62,5,5,5,Champions
13324,37.0,10,7121.95,3,5,5,Loyal Customers
13985,5.0,15,7060.13,5,5,5,Champions
14961,11.0,9,7044.68,5,5,5,Champions
12766,4.0,7,6989.63,5,5,5,Champions
12798,11.0,3,6977.04,5,4,5,Champions
12989,4.0,15,6924.11,5,5,5,Champions
16713,19.0,15,6923.13,4,5,5,Champions
13027,114.0,6,6912.0,2,5,5,At Risk
16187,32.0,15,6911.44,4,5,5,Champions
17416,30.0,7,6893.42,4,5,5,Champions
12705,16.0,9,6868.29,4,5,5,Champions
12476,16.0,11,6816.42,4,5,5,Champions
12830,38.0,6,6814.64,3,5,5,Loyal Customers
15023,4.0,11,6802.76,5,5,5,Champions
18055,8.0,10,6784.19,5,5,5,Champions
15601,12.0,14,6776.56,5,5,5,Champions
16652,59.0,7,6773.97,3,5,5,Loyal Customers
16532,18.0,3,6748.8,4,4,5,Champions
13576,11.0,18,6717.34,5,5,5,Champions
16746,5.0,18,6697.66,5,5,5,Champions
15249,32.0,13,6688.46,4,5,5,Champions
16353,4.0,23,6675.71,5,5,5,Champions
17338,18.0,8,6643.93,4,5,5,Champions
12626,24.0,9,6620.48,4,5,5,Champions
16182,73.0,4,6617.65,2,4,5,At Risk
15144,9.0,17,6580.44,5,5,5,Champions
12472,33.0,7,6572.11,3,5,5,Loyal Customers
16814,15.0,21,6509.1,4,5,5,Champions
12431,36.0,15,6487.45,3,5,5,Loyal Customers
18223,5.0,14,6484.54,5,5,5,Champions
15694,1.0,14,6479.4,5,5,5,Champions
13225,4.0,7,6463.84,5,5,5,Champions
13102,2.0,24,6424.09,5,5,5,Champions
13871,23.0,13,6403.25,4,5,5,Champions
12359,58.0,4,6372.58,3,4,5,Loyal Customers
13668,3.0,21,6363.59,5,5,5,Champions
13709,4.0,13,6328.05,5,5,5,Champions
15005,16.0,28,6316.57,4,5,5,Champions
17315,2.0,38,6292.26,5,5,5,Champions
16126,30.0,4,6287.77,4,4,5,Champions
14057,24.0,17,6217.96,4,5,5,Champions
12357,34.0,1,6207.67,3,2,5,Other
14060,5.0,19,6140.42,5,5,5,Champions
13418,12.0,18,6127.43,5,5,5,Champions
17509,58.0,8,6115.14,3,5,5,Loyal Customers
15939,90.0,15,6115.01,2,5,5,At Risk
14735,4.0,32,6065.69,5,5,5,Champions
12637,68.0,8,6021.9,3,5,5,Loyal Customers
13097,33.0,10,6010.42,3,5,5,Loyal Customers
13316,38.0,4,5977.73,3,4,5,Loyal Customers
14101,74.0,6,5976.79,2,5,5,At Risk
15382,15.0,6,5955.71,4,5,5,Champions
14505,18.0,8,5905.64,4,5,5,Champions
14415,2.0,13,5900.28,5,5,5,Champions
14944,30.0,12,5900.25,4,5,5,Champions
13209,31.0,8,5891.61,4,5,5,Champions
13534,3.0,25,5870.08,5,5,5,Champions
13050,15.0,17,5836.86,4,5,5,Champions
12720,3.0,25,5781.73,5,5,5,Champions
15218,11.0,11,5756.89,5,5,5,Champions
17686,8.0,7,5739.46,5,5,5,Champions
13178,27.0,11,5725.47,4,5,5,Champions
16553,164.0,12,5719.82,2,5,5,At Risk
13468,2.0,37,5704.97,5,5,5,Champions
14110,4.0,12,5683.15,5,5,5,Champions
14049,17.0,4,5681.72,4,4,5,Champions
17049,3.0,9,5659.9800000000005,5,5,5,Champions
17716,23.0,11,5655.99,4,5,5,Champions
13004,12.0,18,5655.91,5,5,5,Champions
18118,11.0,26,5653.82,5,5,5,Champions
14688,8.0,21,5630.87,5,5,5,Champions
17757,2.0,30,5605.29,5,5,5,Champions
12481,23.0,10,5596.32,4,5,5,Champions
12839,3.0,14,5591.42,5,5,5,Champions
16767,31.0,11,5580.6,4,5,5,Champions
16161,2.0,19,5575.56,5,5,5,Champions
12539,23.0,4,5568.35,4,4,5,Champions
15805,24.0,17,5528.48,4,5,5,Champions
18225,4.0,12,5509.12,5,5,5,Champions
16609,16.0,7,5493.46,4,5,5,Champions
16985,18.0,10,5464.12,4,5,5,Champions
16265,10.0,9,5447.0,5,5,5,Champions
18198,5.0,17,5425.56,5,5,5,Champions
12490,6.0,10,5417.93,5,5,5,Champions
17809,17.0,12,5411.91,4,5,5,Champions
16701,9.0,13,5398.3,5,5,5,Champions
17719,38.0,15,5396.04,3,5,5,Loyal Customers
17850,373.0,34,5391.21,1,5,5,At Risk
16303,26.0,3,5360.63,4,4,5,Champions
13269,2.0,15,5346.23,5,5,5,Champions
15150,18.0,10,5314.47,4,5,5,Champions
17730,4.0,13,5298.48,5,5,5,Champions
17061,74.0,11,5232.23,2,5,5,At Risk
18226,45.0,11,5228.05,3,5,5,Loyal Customers
12362,4.0,10,5226.23,5,5,5,Champions
15046,10.0,15,5213.7699999999995,5,5,5,Champions
16258,46.0,5,5203.51,3,4,5,Loyal Customers
13756,3.0,14,5189.5199999999995,5,5,5,Champions
16191,3.0,13,5180.5199999999995,5,5,5,Champions
15727,17.0,7,5178.96,4,5,5,Champions
17858,6.0,12,5155.66,5,5,5,Champions
13599,2.0,21,5153.67,5,5,5,Champions
15903,10.0,7,5126.76,5,5,5,Champions
13941,22.0,5,5112.96,4,4,5,Champions
17602,3.0,6,5102.97,5,5,5,Champions
16700,9.0,13,5076.55,5,5,5,Champions
14562,4.0,18,5074.77,5,5,5,Champions
15301,51.0,12,5070.35,3,5,5,Loyal Customers
13139,17.0,7,5064.94,4,5,5,Champions
12432,43.0,5,5059.32,3,4,5,Loyal Customers
15719,33.0,13,5045.61,3,5,5,Loyal Customers
17426,9.0,6,5037.26,5,5,5,Champions
14329,18.0,7,5014.84,4,5,5,Champions
14755,10.0,11,5010.28,5,5,5,Champions
12444,22.0,5,5005.46,4,4,5,Champions
15032,257.0,3,4959.1,1,4,5,At Risk
15547,8.0,14,4954.84,5,5,5,Champions
12437,2.0,18,4951.41,5,5,5,Champions
12700,8.0,4,4939.99,5,4,5,Champions
15786,47.0,3,4932.2,3,4,5,Loyal Customers
14709,16.0,13,4921.04,4,5,5,Champions
17133,16.0,7,4892.24,4,5,5,Champions
12664,9.0,9,4881.88,5,5,5,Champions
12688,114.0,1,4873.81,2,2,5,Lost Customers
14292,8.0,9,4871.93,5,5,5,Champions
17652,26.0,12,4867.72,4,5,5,Champions
15738,19.0,16,4812.42,4,5,5,Champions
13013,2.0,13,4810.94,5,5,5,Champions
15555,13.0,16,4805.17,5,5,5,Champions
17365,13.0,8,4801.56,5,5,5,Champions
15298,3.0,12,4799.9,5,5,5,Champions
15187,2.0,16,4777.18,5,5,5,Champions
17690,31.0,15,4757.95,4,5,5,Champions
12955,2.0,11,4757.16,5,5,5,Champions
14180,11.0,25,4748.5199999999995,5,5,5,Champions
15152,10.0,13,4745.69,5,5,5,Champions
16722,18.0,13,4730.81,4,5,5,Champions
12714,10.0,5,4708.86,5,4,5,Champions
14159,20.0,11,4693.01,4,5,5,Champions
14135,2.0,15,4690.31,5,5,5,Champions
14191,2.0,13,4684.76,5,5,5,Champions
15291,26.0,15,4668.3,4,5,5,Champions
14189,3.0,15,4654.08,5,5,5,Champions
14390,11.0,9,4652.82,5,5,5,Champions
14286,24.0,3,4628.75,4,4,5,Champions
16931,6.0,21,4604.22,5,5,5,Champions
13802,139.0,3,4599.42,2,4,5,At Risk
15093,19.0,6,4597.0199999999995,4,5,5,Champions
14004,44.0,7,4582.64,3,5,5,Loyal Customers
17613,23.0,14,4559.15,4,5,5,Champions
17068,13.0,21,4552.14,5,5,5,Champions
12484,33.0,6,4541.72,3,5,5,Loyal Customers
13267,3.0,19,4521.49,5,5,5,Champions
15299,68.0,7,4507.01,3,5,5,Loyal Customers
17975,16.0,13,4488.81,4,5,5,Champions
12524,10.0,8,4485.72,5,5,5,Champions
14426,24.0,10,4481.67,4,5,5,Champions
16984,89.0,2,4481.35,2,3,5,At Risk
17364,1.0,11,4481.18,5,5,5,Champions
12627,11.0,7,4478.53,5,5,5,Champions
14085,3.0,18,4448.54,5,5,5,Champions
14534,3.0,18,4447.05,5,5,5,Champions
13069,1.0,24,4436.12,5,5,5,Champions
15955,25.0,14,4416.26,4,5,5,Champions
16626,1.0,17,4413.1,5,5,5,Champions
15874,64.0,7,4405.88,3,5,5,Loyal Customers
12712,29.0,13,4396.13,4,5,5,Champions
13505,73.0,4,4393.63,2,4,5,At Risk
12752,82.0,1,4366.78,2,2,5,Lost Customers
16945,22.0,19,4345.5,4,5,5,Champions
14016,162.0,4,4341.21,2,4,5,At Risk
14800,48.0,12,4339.74,3,5,5,Loyal Customers
14525,20.0,9,4332.2,4,5,5,Champions
17567,8.0,8,4331.48,5,5,5,Champions
18251,88.0,1,4314.72,2,2,5,Lost Customers
12347,3.0,7,4310.0,5,5,5,Champions
15034,16.0,8,4308.61,4,5,5,Champions
17937,9.0,7,4301.22,5,5,5,Champions
14422,1.0,6,4263.64,5,5,5,Champions
12500,24.0,11,4257.82,4,5,5,Champions
17419,12.0,12,4226.57,5,5,5,Champions
14277,16.0,3,4216.2,4,4,5,Champions
15804,1.0,13,4206.39,5,5,5,Champions
17920,5.0,17,4204.1,5,5,5,Champions
15971,18.0,12,4199.85,4,5,5,Champions
12747,3.0,11,4196.01,5,5,5,Champions
14146,9.0,5,4191.0,5,4,5,Champions
18041,12.0,21,4183.39,5,5,5,Champions
12949,31.0,8,4167.22,4,5,5,Champions
15570,8.0,12,4165.5199999999995,5,5,5,Champions
16549,11.0,10,4154.64,5,5,5,Champions
13384,31.0,7,4151.93,4,5,5,Champions
13555,74.0,4,4149.28,2,4,5,At Risk
13988,20.0,6,4147.96,4,5,5,Champions
15514,13.0,11,4139.46,5,5,5,Champions
12569,3.0,32,4124.69,5,5,5,Champions
16592,5.0,16,4113.68,5,5,5,Champions
17940,50.0,10,4106.44,3,5,5,Loyal Customers
17377,24.0,20,4100.92,4,5,5,Champions
16401,2.0,12,4098.32,5,5,5,Champions
16670,17.0,11,4095.9,4,5,5,Champions
12749,4.0,5,4090.88,5,4,5,Champions
14092,8.0,14,4076.91,5,5,5,Champions
12449,23.0,4,4067.29,4,4,5,Champions
18087,99.0,2,4055.7200000000003,2,3,5,At Risk
14401,5.0,13,4051.48,5,5,5,Champions
12656,18.0,5,4051.17,4,4,5,Champions
12867,27.0,7,4036.82,4,5,5,Champions
13815,23.0,4,4027.36,4,4,5,Champions
12841,5.0,25,4022.35,5,5,5,Champions
12957,10.0,8,4017.54,5,5,5,Champions
12378,130.0,1,4008.62,2,2,5,Lost Customers
14547,4.0,8,4007.54,5,5,5,Champions
16186,23.0,12,4006.94,4,5,5,Champions
17769,13.0,10,3997.98,5,5,5,Champions
15529,23.0,11,3995.23,4,5,5,Champions
17001,1.0,11,3989.57,5,5,5,Champions
15416,65.0,4,3984.32,3,4,5,Loyal Customers
17611,8.0,15,3984.22,5,5,5,Champions
12779,38.0,8,3981.36,3,5,5,Loyal Customers
12727,11.0,7,3980.7,5,5,5,Champions
14299,9.0,9,3965.62,5,5,5,Champions
13523,34.0,5,3964.88,3,4,5,Loyal Customers
13183,8.0,9,3957.7799999999997,5,5,5,Champions
17651,12.0,10,3945.0,5,5,5,Champions
12473,30.0,5,3938.55,4,4,5,Champions
17593,4.0,5,3927.34,5,4,5,Champions
14739,5.0,7,3902.28,5,5,5,Champions
13999,11.0,12,3901.81,5,5,5,Champions
14291,2.0,11,3883.25,5,5,5,Champions
18073,115.0,12,3877.52,2,5,5,At Risk
13124,90.0,3,3866.33,2,4,5,At Risk
15195,3.0,1,3861.0,5,2,5,Potential Loyalists
16717,24.0,6,3858.38,4,5,5,Champions
12662,1.0,11,3849.78,5,5,5,Champions
16327,15.0,6,3844.22,4,5,5,Champions
13266,12.0,12,3834.2599999999998,5,5,5,Champions
17091,3.0,9,3827.76,5,5,5,Champions
15867,6.0,15,3812.64,5,5,5,Champions
12755,281.0,2,3811.9500000000003,1,3,5,At Risk
12597,20.0,4,3811.22,4,4,5,Champions
13435,6.0,7,3809.89,5,5,5,Champions
12668,12.0,4,3807.15,5,4,5,Champions
16145,9.0,11,3799.49,5,5,5,Champions
16655,18.0,6,3794.52,4,5,5,Champions
16168,11.0,27,3787.6,5,5,5,Champions
16019,47.0,9,3786.24,3,5,5,Loyal Customers
12562,9.0,7,3781.7400000000002,5,5,5,Champions
17173,6.0,8,3766.6,5,5,5,Champions
16904,5.0,16,3754.27,5,5,5,Champions
12429,10.0,4,3750.4,5,4,5,Champions
17238,3.0,17,3744.65,5,5,5,Champions
14145,47.0,4,3742.2,3,4,5,Loyal Customers
13552,67.0,12,3740.07,3,5,5,Loyal Customers
16570,16.0,10,3738.4,4,5,5,Champions
15808,307.0,4,3734.97,1,4,5,At Risk
14282,4.0,15,3729.34,5,5,5,Champions
12502,96.0,5,3723.87,2,4,5,At Risk
12647,23.0,12,3722.82,4,5,5,Champions
13680,2.0,4,3722.42,5,4,5,Champions
16240,25.0,2,3718.8,4,3,5,Potential Loyalists
14364,109.0,8,3717.35,2,5,5,At Risk
15845,18.0,8,3711.77,4,5,5,Champions
15622,44.0,9,3709.56,3,5,5,Loyal Customers
13148,30.0,12,3707.12,4,5,5,Champions
17819,72.0,7,3704.87,2,5,5,At Risk
15379,170.0,7,3703.29,2,5,5,At Risk
12553,9.0,10,3692.28,5,5,5,Champions
16253,67.0,2,3683.86,3,3,5,Other
15581,121.0,13,3679.97,2,5,5,At Risk
15296,51.0,6,3672.86,3,5,5,Loyal Customers
18079,46.0,4,3651.97,3,4,5,Loyal Customers
13137,11.0,8,3650.41,5,5,5,Champions
12417,4.0,9,3649.1,5,5,5,Champions
16712,10.0,11,3645.43,5,5,5,Champions
13426,1.0,10,3641.32,5,5,5,Champions
12619,17.0,9,3641.24,4,5,5,Champions
16440,8.0,5,3640.67,5,4,5,Champions
13381,32.0,6,3639.31,4,5,5,Champions
17230,265.0,8,3638.41,1,5,5,At Risk
14543,29.0,16,3630.33,4,5,5,Champions
17528,2.0,8,3628.5,5,5,5,Champions
13327,39.0,8,3627.77,3,5,5,Loyal Customers
13520,59.0,6,3624.35,3,5,5,Loyal Customers
17576,9.0,19,3622.68,5,5,5,Champions
14040,41.0,12,3614.92,3,5,5,Loyal Customers
13082,127.0,9,3613.63,2,5,5,At Risk
15505,53.0,5,3610.96,3,4,5,Loyal Customers
15113,10.0,3,3609.33,5,4,5,Champions
16242,9.0,7,3603.21,5,5,5,Champions
15484,2.0,4,3594.31,5,4,5,Champions
14132,3.0,11,3586.0299999999997,5,5,5,Champions
17203,36.0,6,3563.85,3,5,5,Loyal Customers
17491,2.0,10,3558.87,5,5,5,Champions
15544,10.0,9,3546.71,5,5,5,Champions
12370,52.0,4,3545.69,3,4,5,Loyal Customers
14503,4.0,6,3543.26,5,5,5,Champions
13448,17.0,6,3539.37,4,5,5,Champions
13334,83.0,3,3536.82,2,4,5,At Risk
12454,57.0,1,3528.34,3,2,5,Other
17160,32.0,6,3518.03,4,5,5,Champions
13953,8.0,7,3515.68,5,5,5,Champions
16360,5.0,6,3512.53,5,5,5,Champions
14395,3.0,9,3507.71,5,5,5,Champions
16131,52.0,6,3506.54,3,5,5,Loyal Customers
14907,4.0,7,3501.1,5,5,5,Champions
16458,3.0,18,3482.7400000000002,5,5,5,Champions
13993,43.0,9,3466.36,3,5,5,Loyal Customers
13014,11.0,10,3466.2799999999997,5,5,5,Champions
17758,20.0,8,3456.7,4,5,5,Champions
15410,85.0,8,3450.84,2,5,5,At Risk
13536,2.0,7,3448.29,5,5,5,Champions
15129,51.0,11,3447.4,3,5,5,Loyal Customers
15974,40.0,7,3442.15,3,5,5,Loyal Customers
17725,17.0,11,3439.08,4,5,5,Champions
15676,19.0,3,3435.7599999999998,4,4,5,Champions
14221,43.0,9,3432.8,3,5,5,Loyal Customers
12406,23.0,2,3415.2999999999997,4,3,5,Potential Loyalists
15981,25.0,8,3408.48,4,5,5,Champions
13437,15.0,7,3408.06,4,5,5,Champions
17669,43.0,7,3406.72,3,5,5,Loyal Customers
13198,11.0,6,3401.24,5,5,5,Champions
15228,67.0,4,3386.71,3,4,5,Loyal Customers
13842,59.0,9,3385.62,3,5,5,Loyal Customers
15708,41.0,7,3364.2400000000002,3,5,5,Loyal Customers
16011,9.0,16,3362.71,5,5,5,Champions
14227,27.0,10,3350.96,4,5,5,Champions
16818,11.0,11,3349.57,5,5,5,Champions
16607,18.0,14,3347.71,4,5,5,Champions
17183,8.0,6,3347.31,5,5,5,Champions
13015,54.0,5,3346.28,3,4,5,Loyal Customers
12643,129.0,6,3344.64,2,5,5,At Risk
12613,58.0,5,3344.38,3,4,5,Loyal Customers
12594,38.0,10,3338.22,3,5,5,Loyal Customers
16556,67.0,7,3313.79,3,5,5,Loyal Customers
13373,61.0,3,3312.25,3,4,5,Loyal Customers
14841,54.0,6,3295.7599999999998,3,5,5,Loyal Customers
14702,2.0,17,3292.14,5,5,5,Champions
15632,16.0,8,3285.31,4,5,5,Champions
12480,29.0,4,3281.63,4,4,5,Champions
15764,89.0,6,3279.97,2,5,5,At Risk
17723,128.0,6,3276.4,2,5,5,At Risk
13952,218.0,2,3251.071,1,3,5,At Risk
13047,32.0,10,3237.54,4,5,5,Champions
15443,2.0,7,3236.91,5,5,5,Champions
17050,97.0,6,3228.84,2,5,5,At Risk
14175,60.0,3,3222.3,3,4,5,Loyal Customers
13880,22.0,13,3219.77,4,5,5,Champions
13268,18.0,11,3214.69,4,5,5,Champions
14388,11.0,8,3212.84,5,5,5,Champions
16107,18.0,7,3204.16,4,5,5,Champions
17220,25.0,14,3198.25,4,5,5,Champions
13868,8.0,2,3192.54,5,3,5,Potential Loyalists
17685,17.0,7,3191.5299999999997,4,5,5,Champions
13758,12.0,7,3190.55,5,5,5,Champions
14844,64.0,4,3189.81,3,4,5,Loyal Customers
12456,45.0,3,3181.04,3,4,5,Loyal Customers
17672,51.0,2,3178.17,3,3,5,Other
17231,13.0,10,3174.32,5,5,5,Champions
16837,32.0,11,3170.98,4,5,5,Champions
16041,31.0,3,3166.4,4,4,5,Champions
15861,13.0,8,3165.36,5,5,5,Champions
17863,60.0,6,3160.0,3,5,5,Loyal Customers
15065,38.0,4,3158.13,3,4,5,Loyal Customers
14235,76.0,5,3144.86,2,4,5,At Risk
13742,17.0,12,3131.02,4,5,5,Champions
16156,9.0,9,3122.04,5,5,5,Champions
13685,3.0,7,3119.44,5,5,5,Champions
16326,6.0,14,3110.96,5,5,5,Champions
16678,3.0,12,3109.99,5,5,5,Champions
13869,124.0,4,3104.95,2,4,5,At Risk
14099,17.0,11,3104.17,4,5,5,Champions
16905,6.0,7,3102.43,5,5,5,Champions
15491,96.0,6,3100.09,2,5,5,At Risk
14257,65.0,5,3099.72,3,4,5,Loyal Customers
14565,96.0,4,3099.12,2,4,5,At Risk
13135,197.0,1,3096.0,1,2,5,Lost Customers
17059,30.0,5,3095.04,4,4,5,Champions
13362,10.0,4,3090.74,5,4,5,Champions
15998,37.0,5,3089.97,3,4,5,Loyal Customers
16218,30.0,7,3084.68,4,5,5,Champions
18272,3.0,6,3078.58,5,5,5,Champions
12910,24.0,8,3075.04,4,5,5,Champions
13631,100.0,11,3070.42,2,5,5,At Risk
16686,48.0,7,3062.83,3,5,5,Loyal Customers
14456,6.0,9,3062.4,5,5,5,Champions
17799,23.0,10,3055.93,4,5,5,Champions
16940,53.0,3,3049.88,3,4,5,Loyal Customers
16393,3.0,13,3046.21,5,5,5,Champions
16709,85.0,5,3029.87,2,4,5,At Risk
12598,10.0,8,3023.08,5,5,5,Champions
12395,20.0,12,3018.63,4,5,5,Champions
18094,82.0,7,3017.3,2,5,5,At Risk
12754,236.0,3,3010.7400000000002,1,4,5,At Risk
12916,139.0,4,3006.15,2,4,5,At Risk
15521,41.0,8,3000.2,3,5,5,Loyal Customers
17659,18.0,12,2999.46,4,5,5,Champions
17504,207.0,9,2997.03,1,5,5,At Risk
12670,11.0,5,2996.05,5,4,5,Champions
